Time (s), Activation By Channel (% of MVC)
659.467000, 1.582538E-1, 1.304436E-3
659.468000, 1.925464E-1, 8.358714E-3
659.469000, 2.568882E-1, 6.326897E-3
659.470000, 2.698510E-1, 4.062116E-3
659.471000, 2.788300E-1, 2.693033E-3
, , 
659.472000, 2.227997E-1, 1.557576E-3
659.473000, 1.647405E-1, 6.318739E-4
659.474000, 2.282003E-1, 1.066820E-4
659.475000, 3.493257E-1, 6.794287E-4
659.476000, 2.885944E-1, 1.106432E-3
659.477000, 1.067978E-1, 1.005754E-2
659.478000, 1.722301E-1, 7.408273E-3
659.479000, 4.046724E-1, 3.509829E-3
659.480000, 2.455832E-1, 6.063333E-3
659.481000, 2.672599E-1, 4.663254E-3
659.482000, 3.704632E-1, 3.563584E-3
659.483000, 2.070853E-1, 2.635466E-3
659.484000, 5.563457E-2, 1.861024E-3
659.485000, 3.610886E-1, 7.427531E-3
659.486000, 1.978334E-1, 5.103819E-3
659.487000, 2.444547E-1, 3.148701E-3
659.488000, 9.384628E-2, 1.527686E-3
659.489000, 6.674366E-1, 8.443241E-3
659.490000, 1.070898E+0, 1.997570E-3
659.491000, 7.062495E-1, 7.939078E-3
659.492000, 3.552993E-1, 6.125098E-3
659.493000, 2.765568E-2, 4.555948E-3
659.494000, 1.222501E-1, 5.439914E-3
659.495000, 1.894666E-1, 3.740086E-3
659.496000, 2.976560E-1, 6.321446E-3
659.497000, 3.344298E-1, 4.018243E-3
659.498000, 2.910311E-1, 2.622383E-3
659.499000, 3.032915E-1, 1.478509E-3
659.500000, 1.634627E-1, 8.092075E-3
659.501000, 1.879965E-1, 5.973336E-3
659.502000, 2.511073E-1, 4.155911E-3
659.503000, 2.256069E-1, 6.036556E-3
659.504000, 1.883452E-1, 4.486436E-3
, , 
659.505000, 1.260251E-1, 3.183470E-3
659.506000, 6.503232E-2, 6.548928E-3
659.507000, 7.233608E-3, 4.592740E-3
659.508000, 4.592557E-2, 2.936746E-3
659.509000, 8.471769E-2, 1.553942E-3
659.510000, 4.199087E-2, 4.184127E-4
659.511000, 2.298006E-2, 4.946346E-4
659.512000, 4.895765E-2, 9.859896E-3
