Time, Activation By Channel (% of MVC)
1213.572000, 1.082016E+0, 1.398929E+0
1213.573000, 3.372263E-1, 1.398929E+0
1213.574000, 4.392523E-1, 1.409125E+0
, , 
1213.575000, 3.780367E-1, 1.398929E+0
1213.576000, 2.556055E-1, 1.398929E+0
1213.577000, 1.739846E-1, 1.398929E+0
1213.578000, 1.841872E-1, 1.398929E+0
1213.579000, 1.943898E-1, 1.409125E+0
1213.580000, 2.249977E-1, 1.398929E+0
1213.581000, 1.739846E-1, 1.409125E+0
1213.582000, 7.195862E-2, 1.398929E+0
1213.583000, -2.953350E-1, 1.409125E+0
1213.584000, -5.810079E-1, 1.398929E+0
1213.585000, -6.422235E-1, 1.409125E+0
1213.586000, -6.320209E-1, 1.398929E+0
1213.587000, -1.014856E-1, 1.409125E+0
1213.588000, 1.071814E+0, 1.409125E+0
1213.589000, 8.371538E-1, 1.409125E+0
1213.590000, 2.964159E-1, 1.398929E+0
1213.591000, 1.637820E-1, 1.409125E+0
1213.592000, 1.331742E-1, 1.398929E+0
1213.593000, -1.986479E-2, 1.409125E+0
1213.594000, -1.320934E-1, 1.398929E+0
1213.595000, -1.524986E-1, 1.409125E+0
1213.596000, -1.627012E-1, 1.398929E+0
1213.597000, -1.986479E-2, 1.409125E+0
1213.598000, 5.208731E-1, 1.398929E+0
1213.599000, 1.229716E-1, 1.409125E+0
1213.600000, -3.157402E-1, 1.398929E+0
1213.601000, -2.443220E-1, 1.398929E+0
1213.602000, -4.027000E-2, 1.398929E+0
1213.603000, 5.004679E-1, 1.398929E+0
1213.604000, 6.637095E-1, 1.398929E+0
1213.605000, 1.535794E-1, 1.398929E+0
1213.606000, -4.381715E-1, 1.398929E+0
1213.607000, -4.585767E-1, 1.398929E+0
, , 
1213.608000, -3.463481E-1, 1.398929E+0
1213.609000, -3.973611E-1, 1.398929E+0
1213.610000, 1.127690E-1, 1.409125E+0
1213.611000, -1.831064E-1, 1.398929E+0
1213.612000, -4.381715E-1, 1.398929E+0
1213.613000, -3.055376E-1, 1.409125E+0
1213.614000, 3.780367E-1, 1.409125E+0
1213.615000, 5.718861E-1, 1.398929E+0
1213.616000, 6.637095E-1, 1.409125E+0
1213.617000, 6.228991E-1, 1.409125E+0
1213.618000, 3.576315E-1, 1.409125E+0
1213.619000, 2.862133E-1, 1.398929E+0
1213.620000, 3.780367E-1, 1.409125E+0
1213.621000, 2.964159E-1, 1.398929E+0
1213.622000, 2.658081E-1, 1.398929E+0
1213.623000, 2.045924E-1, 1.398929E+0
