Time, Activation By Channel (% of MVC)
204.024000, 8.216122E-2, 1.398929E+0
204.025000, -4.027000E-2, 1.409125E+0
204.026000, 1.074301E-2, 1.409125E+0
204.027000, 6.175602E-2, 1.409125E+0
204.028000, 1.025664E-1, 1.398929E+0
204.029000, 1.433768E-1, 1.398929E+0
204.030000, 1.331742E-1, 1.398929E+0
204.031000, -5.047260E-2, 1.398929E+0
204.032000, -4.027000E-2, 1.398929E+0
204.033000, 1.943898E-1, 1.409125E+0
204.034000, 2.964159E-1, 1.398929E+0
204.035000, 2.862133E-1, 1.398929E+0
204.036000, -5.047260E-2, 1.409125E+0
204.037000, -1.627012E-1, 1.398929E+0
204.038000, -1.524986E-1, 1.398929E+0
, , 
204.039000, 1.637820E-1, 1.409125E+0
204.040000, 4.135082E-2, 1.409125E+0
204.041000, 2.094561E-2, 1.398929E+0
204.042000, 4.135082E-2, 1.398929E+0
204.043000, 4.135082E-2, 1.409125E+0
204.044000, 7.195862E-2, 1.398929E+0
204.045000, 1.127690E-1, 1.398929E+0
204.046000, 1.943898E-1, 1.409125E+0
204.047000, 1.535794E-1, 1.409125E+0
204.048000, -1.986479E-2, 1.398929E+0
204.049000, 6.175602E-2, 1.409125E+0
204.050000, 7.195862E-2, 1.409125E+0
204.051000, 9.236383E-2, 1.398929E+0
204.052000, -1.986479E-2, 1.398929E+0
204.053000, 5.404097E-4, 1.409125E+0
204.054000, -1.986479E-2, 1.398929E+0
204.055000, 8.216122E-2, 1.409125E+0
204.056000, 4.135082E-2, 1.409125E+0
204.057000, 1.535794E-1, 1.398929E+0
204.058000, 2.147950E-1, 1.398929E+0
204.059000, 2.147950E-1, 1.409125E+0
204.060000, 1.739846E-1, 1.409125E+0
204.061000, -1.422960E-1, 1.398929E+0
204.062000, -1.422960E-1, 1.398929E+0
204.063000, 1.074301E-2, 1.409125E+0
204.064000, 9.236383E-2, 1.398929E+0
204.065000, 8.216122E-2, 1.398929E+0
204.066000, 1.229716E-1, 1.409125E+0
204.067000, 1.433768E-1, 1.398929E+0
204.068000, 1.025664E-1, 1.398929E+0
204.069000, 1.535794E-1, 1.398929E+0
204.070000, 2.094561E-2, 1.409125E+0
204.071000, -9.662192E-3, 1.398929E+0
, , 
204.072000, 1.074301E-2, 1.409125E+0
204.073000, 7.195862E-2, 1.409125E+0
204.074000, 1.331742E-1, 1.398929E+0
204.075000, 6.175602E-2, 1.398929E+0
204.076000, 6.175602E-2, 1.409125E+0
204.077000, 1.025664E-1, 1.398929E+0
204.078000, 1.025664E-1, 1.398929E+0
204.079000, 1.637820E-1, 1.409125E+0
204.080000, 1.433768E-1, 1.398929E+0
204.081000, 2.352003E-1, 1.398929E+0
204.082000, 1.025664E-1, 1.409125E+0
204.083000, 8.216122E-2, 1.409125E+0
204.084000, 5.155342E-2, 1.398929E+0
204.085000, 5.404097E-4, 1.398929E+0
204.086000, 2.094561E-2, 1.409125E+0
204.087000, 7.195862E-2, 1.398929E+0
204.088000, 1.025664E-1, 1.398929E+0
204.089000, 1.229716E-1, 1.398929E+0
204.090000, 3.114822E-2, 1.398929E+0
204.091000, -1.116882E-1, 1.398929E+0
204.092000, 6.175602E-2, 1.409125E+0
204.093000, 1.535794E-1, 1.409125E+0
204.094000, 8.216122E-2, 1.398929E+0
204.095000, 1.637820E-1, 1.409125E+0
204.096000, 2.094561E-2, 1.409125E+0
204.097000, -1.986479E-2, 1.398929E+0
