Time (s), Activation By Channel (% of MVC)
203.962000, 4.089150E-3, 1.527918E-3
203.963000, 3.323492E-2, 7.972313E-3
203.964000, 2.073166E-3, 5.814312E-3
203.965000, 8.500920E-2, 4.667970E-3
203.966000, 4.824741E-2, 5.288148E-3
203.967000, 1.282413E-1, 3.545434E-3
203.968000, 1.113973E-1, 6.560310E-3
203.969000, 7.565030E-3, 4.915612E-3
203.970000, 1.008161E-2, 5.137200E-3
203.971000, 2.354764E-2, 5.172550E-3
203.972000, 3.835802E-2, 3.715244E-3
, , 
203.973000, 4.747296E-2, 6.166089E-3
203.974000, 2.591435E-2, 4.299928E-3
203.975000, 3.503764E-2, 5.666683E-3
203.976000, 3.105810E-2, 3.929139E-3
203.977000, 1.696175E-2, 2.474748E-3
203.978000, 7.968112E-3, 7.375615E-3
203.979000, 1.572095E-2, 5.506552E-3
203.980000, 3.155079E-2, 4.741533E-3
203.981000, 1.062951E-1, 5.400109E-3
203.982000, 7.128764E-2, 3.799948E-3
203.983000, 1.768168E-2, 6.200889E-3
203.984000, 2.034235E-2, 4.483961E-3
203.985000, 3.950352E-3, 3.038044E-3
203.986000, 1.782585E-2, 1.836499E-3
203.987000, 4.414825E-2, 8.541129E-4
203.988000, 1.714303E-2, 8.583961E-3
203.989000, 1.705607E-2, 2.292948E-3
203.990000, 2.319455E-2, 1.355527E-3
203.991000, 2.587932E-2, 8.052585E-3
203.992000, 2.589101E-2, 5.810181E-3
203.993000, 1.549569E-1, 3.903023E-3
203.994000, 5.896503E-2, 2.301249E-3
203.995000, 3.969924E-3, 9.762421E-4
203.996000, 1.050336E-2, 9.935035E-5
203.997000, 2.979031E-2, 9.602646E-3
203.998000, 5.160369E-2, 1.234657E-3
203.999000, 7.408364E-2, 2.808131E-4
204.000000, 1.784188E-2, 9.123009E-3
204.001000, 2.536933E-3, 1.792979E-3
204.002000, 6.920531E-2, 7.752492E-3
204.003000, 8.290943E-2, 3.027418E-3
204.004000, 6.734185E-2, 6.648351E-3
204.005000, 8.639854E-2, 4.007252E-3
, , 
204.006000, 1.151900E-3, 5.786626E-3
204.007000, 4.292266E-2, 3.893803E-3
204.008000, 3.299927E-3, 6.349143E-3
204.009000, 2.561247E-2, 4.828211E-3
204.010000, 4.112212E-2, 5.114562E-3
204.011000, 2.549442E-2, 5.291419E-3
204.012000, 7.460405E-2, 3.916656E-3
204.013000, 1.299275E-2, 2.755528E-3
204.014000, 6.598582E-3, 1.786803E-3
204.015000, 1.595543E-1, 9.904723E-4
204.016000, 2.939022E-3, 3.477224E-4
204.017000, 8.909407E-2, 8.810140E-3
204.018000, 1.042991E-1, 2.293459E-3
204.019000, 1.524379E-1, 7.116212E-3
204.020000, 7.989899E-2, 4.897092E-3
204.021000, 1.888426E-2, 5.619836E-3
204.022000, 6.091685E-2, 4.325155E-3
204.023000, 3.652289E-2, 2.591933E-3
204.024000, 8.488063E-3, 7.486530E-3
204.025000, 9.890535E-2, 2.851562E-3
204.026000, 2.458210E-2, 1.468207E-3
204.027000, 3.025583E-2, 3.496306E-4
204.028000, 5.988328E-2, 9.184231E-3
204.029000, 7.845800E-2, 7.018755E-3
204.030000, 4.462127E-2, 5.146003E-3
204.031000, 1.295716E-1, 3.542098E-3
204.032000, 8.501078E-2, 2.184075E-3
204.033000, 1.414180E-1, 7.601169E-3
204.034000, 1.852660E-1, 2.958297E-3
204.035000, 1.122260E-1, 1.733960E-3
204.036000, 2.241137E-1, 7.930175E-3
204.037000, 2.669221E-1, 2.738115E-3
204.038000, 1.819665E-1, 1.610658E-3
, , 
204.039000, 1.478923E-1, 7.968157E-3
204.040000, 7.091832E-3, 5.876726E-3
204.041000, 7.581612E-3, 4.550310E-3
204.042000, 1.730538E-2, 3.200593E-3
204.043000, 1.759299E-2, 6.582470E-3
204.044000, 4.338672E-2, 3.972848E-3
204.045000, 6.892753E-2, 2.737968E-3
204.046000, 1.188435E-1, 6.943045E-3
204.047000, 4.508634E-2, 4.948838E-3
204.048000, 1.233627E-1, 5.385764E-3
204.049000, 2.315164E-2, 4.702786E-3
204.050000, 1.083944E-2, 3.078117E-3
204.051000, 6.946892E-3, 6.923117E-3
204.052000, 9.333470E-2, 5.186604E-3
204.053000, 4.874856E-2, 4.946163E-3
204.054000, 4.875789E-2, 5.294669E-3
204.055000, 5.787252E-2, 4.872389E-3
204.056000, 1.131129E-2, 3.312047E-3
204.057000, 1.075169E-1, 6.637958E-3
204.058000, 1.287012E-1, 4.862236E-3
204.059000, 8.571972E-2, 5.298784E-3
204.060000, 1.532794E-2, 3.727359E-3
204.061000, 2.709376E-1, 6.238095E-3
204.062000, 1.968557E-1, 4.481532E-3
204.063000, 4.231437E-3, 5.657259E-3
204.064000, 7.492069E-2, 4.589910E-3
204.065000, 5.132129E-2, 3.090994E-3
204.066000, 7.577988E-2, 6.813334E-3
204.067000, 7.285386E-2, 3.646020E-3
204.068000, 1.539656E-2, 2.337952E-3
204.069000, 5.096608E-2, 1.255154E-3
204.070000, 8.202014E-2, 8.276389E-3
204.071000, 8.780876E-2, 2.514611E-3
, , 
204.072000, 4.467720E-2, 7.151779E-3
204.073000, 2.333565E-2, 5.138613E-3
204.074000, 7.157415E-2, 5.218150E-3
204.075000, 9.372284E-3, 3.805005E-3
204.076000, 6.603847E-3, 6.035629E-3
204.077000, 3.037121E-2, 4.467135E-3
204.078000, 2.096917E-2, 3.184010E-3
204.079000, 6.506150E-2, 6.541533E-3
204.080000, 2.424662E-2, 4.062430E-3
204.081000, 8.843978E-2, 2.867624E-3
204.082000, 6.066748E-2, 6.781487E-3
204.083000, 7.091471E-2, 4.763076E-3
204.084000, 8.434636E-2, 5.588572E-3
204.085000, 1.077847E-1, 4.161551E-3
204.086000, 5.901529E-2, 5.700203E-3
204.087000, 5.259914E-3, 4.775624E-3
204.088000, 3.461388E-2, 3.461075E-3
204.089000, 4.608115E-2, 2.351902E-3
204.090000, 4.257337E-2, 1.428096E-3
204.091000, 1.472816E-1, 6.707170E-4
204.092000, 5.335188E-2, 8.589166E-3
204.093000, 1.272358E-1, 6.226376E-3
204.094000, 3.686877E-2, 4.428032E-3
204.095000, 1.004233E-1, 5.385777E-3
204.096000, 4.872230E-2, 3.527798E-3
204.097000, 6.724767E-2, 6.668858E-3
204.098000, 4.256999E-2, 5.093318E-3
204.099000, 1.233267E-2, 4.909594E-3
204.100000, 2.596446E-2, 3.217876E-3
204.101000, 5.247797E-2, 6.834162E-3
204.102000, 7.823188E-2, 5.134412E-3
204.103000, 7.600069E-2, 4.973572E-3
204.104000, 7.224196E-3, 5.281969E-3
, , 
204.105000, 6.264819E-2, 3.772358E-3
204.106000, 7.489888E-2, 6.158569E-3
204.107000, 1.476630E-3, 4.261227E-3
204.108000, 1.218152E-1, 2.903362E-3
204.109000, 1.366249E-1, 1.763026E-3
204.110000, 1.445053E-2, 7.831528E-3
204.111000, 2.090181E-1, 2.893038E-3
204.112000, 1.830667E-1, 6.841394E-3
204.113000, 7.061354E-2, 4.896276E-3
204.114000, 3.124358E-1, 5.393822E-3
204.115000, 3.001014E-1, 3.916574E-3
204.116000, 5.207777E-2, 5.984616E-3
