Time (s), Filtered Data By Channel
0.199000, 2.612847E-5, 2.527677E-3
0.200000, 1.476176E-1, 3.021015E-3
0.201000, 1.477676E-1, 3.351372E-3
0.202000, 2.226302E-1, 3.539594E-3
0.203000, 2.938403E-1, 3.605362E-3
0.204000, 4.593022E-1, 3.567161E-3
0.205000, 8.709477E-2, 1.209331E-2
0.206000, 3.164458E-1, 4.067531E-4
0.207000, 4.357940E-1, 9.281639E-3
0.208000, 6.654601E-1, 6.575158E-3
0.209000, 3.352494E-1, 4.382633E-3
0.210000, 6.064687E-1, 5.166886E-3
0.211000, 3.699730E-1, 5.568772E-3
0.212000, 1.748809E-1, 4.185982E-3
0.213000, 3.115999E-1, 2.289882E-3
0.214000, 4.745068E-2, 7.256961E-4
0.215000, 1.526132E-1, 5.392193E-4
0.216000, 4.079691E-1, 1.536027E-3
0.217000, 2.744196E-1, 2.294379E-3
0.218000, 5.058180E-1, 2.842379E-3
0.219000, 5.230723E-2, 1.185761E-2
0.220000, 1.411839E+0, 9.223013E-3
0.221000, 4.606038E-1, 1.722838E-3
0.222000, 5.235649E-2, 8.642265E-4
0.223000, 1.896600E-1, 8.458209E-3
0.224000, 7.296342E-1, 6.125994E-3
0.225000, 1.120922E-1, 4.127352E-3
0.226000, 4.611579E-2, 2.434601E-3
0.227000, 6.465258E-2, 1.021024E-3
0.228000, 2.735954E-1, 1.391024E-4
0.229000, 1.659811E-1, 1.070484E-3
0.230000, 1.262841E+0, 1.796772E-3
, , 
0.231000, 4.237485E-1, 2.340533E-3
0.232000, 6.196690E-1, 2.723219E-3
0.233000, 1.121481E+0, 2.965133E-3
0.234000, 2.563450E-1, 1.173646E-2
0.235000, 5.973471E-1, 2.620754E-4
0.236000, 5.379702E-1, 6.670284E-4
0.237000, 1.644478E-1, 9.525170E-4
0.238000, 2.769628E-1, 9.786416E-3
0.239000, 4.958974E-1, 1.608738E-3
0.240000, 7.283764E-2, 7.540804E-3
0.241000, 4.743456E-1, 3.559145E-3
0.242000, 1.964615E-1, 5.865321E-3
0.243000, 2.251644E-1, 3.671273E-3
0.244000, 8.386520E-2, 6.811236E-3
0.245000, 7.523874E-1, 3.176558E-3
0.246000, 3.093639E-1, 1.493525E-3
0.247000, 3.999151E-1, 1.226734E-4
0.248000, 3.060686E-1, 9.682846E-4
0.249000, 1.170724E-1, 1.810050E-3
0.250000, 6.199958E-1, 2.431705E-3
0.251000, 7.922640E-1, 2.860690E-3
0.252000, 7.647316E-1, 1.177383E-2
0.253000, 1.450615E-1, 4.021734E-4
0.254000, 7.375831E-1, 8.764382E-4
0.255000, 8.230165E-1, 9.854100E-3
0.256000, 7.194844E-1, 7.214744E-3
0.257000, 1.681857E-1, 4.944610E-3
0.258000, 2.816817E-1, 3.013996E-3
0.259000, 2.282071E-1, 1.394135E-3
0.260000, 1.427283E-1, 5.723362E-5
0.261000, 5.474217E-1, 1.023492E-3
0.262000, 9.909007E-1, 1.873775E-3
0.263000, 1.337683E-1, 2.518250E-3
, , 
0.264000, 1.165696E-1, 1.163147E-2
0.265000, 2.977282E-1, 4.426998E-4
0.266000, 8.247272E-1, 1.081362E-3
0.267000, 2.287217E-1, 1.553012E-3
0.268000, 8.297634E-3, 1.878775E-3
0.269000, 1.184021E-1, 2.078473E-3
0.270000, 4.139627E-1, 2.170613E-3
0.271000, 1.166425E+0, 1.082343E-2
0.272000, 9.763306E-1, 7.910782E-3
0.273000, 6.123919E-2, 3.237527E-3
0.274000, 6.377173E-1, 2.514240E-3
0.275000, 9.603357E-1, 6.731903E-3
0.276000, 8.381991E-1, 4.276359E-3
0.277000, 2.670155E-1, 3.416136E-3
0.278000, 2.704573E-1, 5.962705E-3
0.279000, 6.125639E-1, 3.732940E-3
0.280000, 7.423257E-1, 1.874558E-3
0.281000, 5.619031E-1, 3.521829E-4
0.282000, 4.842385E-1, 8.680319E-4
0.283000, 1.457029E-1, 1.818361E-3
0.284000, 3.575559E-1, 2.529470E-3
0.285000, 1.663455E-1, 3.030374E-3
0.286000, 1.283901E-1, 3.348412E-3
0.287000, 3.957572E-2, 1.216027E-2
0.288000, 2.461707E-1, 6.968188E-4
0.289000, 5.739998E-2, 1.088553E-3
0.290000, 3.575566E-1, 9.992687E-3
0.291000, 1.159593E+0, 7.288502E-3
0.292000, 8.024855E-1, 4.961895E-3
0.293000, 5.144300E-1, 2.982785E-3
0.294000, 1.047847E+0, 1.321997E-3
0.295000, 9.895001E-1, 4.870405E-5
0.296000, 6.250370E-3, 1.156566E-3
, , 
0.297000, 1.381714E-1, 2.027804E-3
0.298000, 1.320921E-1, 1.133861E-2
0.299000, 8.573931E-2, 3.199238E-4
0.300000, 1.312302E-2, 1.102908E-3
0.301000, 4.776939E-1, 1.694875E-3
0.302000, 3.337860E-2, 2.118730E-3
0.303000, 5.771837E-1, 1.104714E-2
0.304000, 7.378435E-1, 2.926391E-4
0.305000, 9.339220E-2, 8.877715E-3
0.306000, 9.663170E-1, 2.231535E-3
0.307000, 9.675998E-1, 1.493265E-3
0.308000, 5.275212E-1, 9.043246E-4
0.309000, 6.463805E-1, 4.460646E-4
0.310000, 2.603167E-1, 1.011720E-4
0.311000, 6.561592E-2, 8.797405E-3
0.312000, 6.062702E-1, 6.122372E-3
0.313000, 4.208713E-1, 3.853501E-3
0.314000, 6.583455E-2, 1.955042E-3
0.315000, 1.513091E+0, 3.926137E-4
0.316000, 6.817308E-1, 8.667549E-4
0.317000, 8.456271E-1, 1.854584E-3
0.318000, 3.847431E-1, 2.600902E-3
0.319000, 6.635961E-1, 3.134205E-3
0.320000, 6.317482E-1, 3.481419E-3
0.321000, 7.564209E-1, 1.231893E-2
0.322000, 4.462391E-1, 9.528443E-3
0.323000, 3.129793E-1, 1.552704E-3
0.324000, 2.180368E-1, 7.840991E-3
0.325000, 5.061524E-1, 5.574554E-3
0.326000, 6.435192E-2, 3.636544E-3
0.327000, 1.910845E-1, 6.651461E-3
0.328000, 1.726840E-1, 3.477175E-3
0.329000, 1.483996E-1, 1.888679E-3
, , 
0.330000, 1.337711E+0, 5.729035E-4
0.331000, 5.512534E-1, 4.961148E-4
0.332000, 6.277006E-2, 9.994320E-3
0.333000, 1.402709E-1, 7.803492E-3
0.334000, 2.531149E-2, 2.738461E-3
0.335000, 1.334770E-1, 1.516051E-3
0.336000, 5.412616E-1, 5.207683E-4
0.337000, 1.576319E-1, 2.715112E-4
0.338000, 8.923211E-1, 9.534704E-3
0.339000, 1.561375E-1, 1.502663E-3
0.340000, 2.518544E-1, 7.939074E-3
0.341000, 2.399174E-1, 5.722597E-3
0.342000, 7.384839E-1, 4.816603E-3
0.343000, 2.029158E-1, 5.085464E-3
0.344000, 7.519300E-1, 3.292657E-3
0.345000, 1.115518E+0, 1.792705E-3
0.346000, 4.820976E-1, 5.577559E-4
0.347000, 5.215360E-2, 4.387687E-4
0.348000, 3.019472E-1, 1.222153E-3
0.349000, 4.747209E-1, 1.816372E-3
0.350000, 6.861262E-1, 2.244082E-3
0.351000, 3.849432E-2, 2.526604E-3
0.352000, 6.890412E-1, 1.133497E-2
0.353000, 3.315624E-1, 1.052434E-4
0.354000, 6.011234E-1, 8.982624E-3
0.355000, 3.988763E-1, 2.192840E-3
0.356000, 1.238114E-1, 1.506150E-3
0.357000, 2.355002E-1, 7.695295E-3
0.358000, 3.790554E-1, 5.286592E-3
0.359000, 7.315729E-1, 3.249893E-3
0.360000, 9.137441E-1, 1.551807E-3
0.361000, 1.082126E+0, 1.602884E-4
0.362000, 2.963242E-1, 9.553351E-4
, , 
0.363000, 6.847168E-1, 1.824324E-3
0.364000, 5.919648E-1, 2.474495E-3
0.365000, 3.155466E-1, 2.932192E-3
0.366000, 1.272940E-1, 1.187331E-2
0.367000, 1.892546E-1, 9.179157E-3
0.368000, 5.459032E-1, 1.813217E-3
0.369000, 7.555733E-1, 7.661485E-3
0.370000, 2.540258E-1, 5.468187E-3
0.371000, 1.676326E-1, 5.055627E-3
0.372000, 4.090228E-1, 3.795254E-3
0.373000, 2.228786E-1, 2.743295E-3
0.374000, 3.928885E-2, 1.877009E-3
0.375000, 5.234538E-1, 1.175143E-3
0.376000, 2.396355E-2, 8.033153E-3
0.377000, 1.386003E-1, 5.624250E-3
0.378000, 5.533271E-2, 5.069606E-3
0.379000, 9.994246E-2, 3.938762E-3
0.380000, 7.385743E-1, 5.670407E-3
0.381000, 6.127072E-1, 3.634045E-3
0.382000, 2.324413E-1, 1.935392E-3
0.383000, 7.165962E-2, 5.422002E-4
0.384000, 8.232592E-2, 5.763707E-4
0.385000, 1.196807E+0, 1.449716E-3
0.386000, 4.714390E-2, 2.105751E-3
0.387000, 5.627908E-1, 2.570873E-3
0.388000, 1.622837E-1, 2.869942E-3
0.389000, 1.037198E+0, 1.167731E-2
0.390000, 1.206937E+0, 2.216313E-4
0.391000, 5.027953E-1, 9.282426E-3
0.392000, 8.398070E-1, 1.929109E-3
0.393000, 2.539482E-1, 1.285120E-3
0.394000, 1.029969E+0, 7.819356E-4
0.395000, 6.579946E-1, 8.250489E-3
, , 
0.396000, 7.055831E-2, 2.963416E-3
0.397000, 1.479893E-2, 6.351740E-3
0.398000, 8.243255E-1, 4.054250E-3
0.399000, 2.150491E+0, 2.126200E-3
0.400000, 1.846817E+0, 5.340474E-4
0.401000, 1.339346E+0, 7.544744E-4
0.402000, 1.140758E+0, 1.770305E-3
0.403000, 6.217506E-2, 2.543003E-3
0.404000, 2.730187E-1, 3.100701E-3
0.405000, 6.477925E-1, 3.470056E-3
0.406000, 8.960448E-2, 1.232726E-2
0.407000, 1.511939E+0, 9.028656E-4
0.408000, 1.100253E-1, 1.327205E-3
0.409000, 7.781552E-1, 1.025747E-2
0.410000, 5.850795E-1, 1.078015E-3
0.411000, 2.435765E-1, 5.511424E-4
0.412000, 1.222384E+0, 8.493035E-3
0.413000, 2.630694E-1, 2.719370E-3
0.414000, 1.437854E-1, 2.062416E-3
0.415000, 7.122837E-2, 1.534299E-3
0.416000, 6.758109E-1, 1.117847E-3
0.417000, 2.062328E-1, 7.973223E-4
0.418000, 1.860779E-1, 5.583755E-4
0.419000, 2.971680E-1, 8.263063E-3
0.420000, 5.274129E-1, 5.536729E-3
0.421000, 1.251008E-1, 5.411590E-3
0.422000, 8.368906E-1, 4.172552E-3
0.423000, 3.396574E-1, 6.507377E-3
0.424000, 8.735506E-1, 5.330711E-3
0.425000, 4.243808E-1, 4.350679E-3
0.426000, 2.558619E-1, 2.407804E-3
0.427000, 3.048205E-1, 8.191448E-4
0.428000, 4.518110E-1, 4.519202E-4
, , 
0.429000, 3.444497E-1, 1.440213E-3
0.430000, 7.432999E-2, 1.082977E-2
0.431000, 2.843662E-1, 1.413521E-4
0.432000, 9.065192E-1, 9.315429E-3
0.433000, 8.562331E-1, 1.579949E-3
0.434000, 1.817374E-1, 6.912558E-4
0.435000, 2.198999E-2, 6.811868E-6
0.436000, 3.470330E-1, 9.151038E-3
0.437000, 2.408138E-3, 6.664982E-3
0.438000, 7.128672E-3, 4.524143E-3
0.439000, 5.311485E-1, 2.701492E-3
0.440000, 7.615059E-3, 1.170732E-3
0.441000, 1.184426E+0, 9.365505E-5
0.442000, 8.598054E-1, 1.116361E-3
0.443000, 1.542326E-1, 1.921201E-3
0.444000, 7.405522E-4, 2.531063E-3
0.445000, 1.641993E-1, 2.967854E-3
0.446000, 4.073742E-1, 1.190351E-2
0.447000, 4.693488E-1, 5.647698E-4
0.448000, 5.345025E-1, 9.729709E-3
0.449000, 8.389247E-1, 1.391492E-3
0.450000, 1.647121E-1, 7.979455E-3
0.451000, 1.390650E+0, 5.703961E-3
0.452000, 3.972980E-1, 4.883663E-3
0.453000, 5.143793E-1, 3.671577E-3
0.454000, 7.310938E-2, 5.996115E-3
0.455000, 1.002216E+0, 3.997872E-3
0.456000, 2.578106E-1, 6.331802E-3
0.457000, 6.004104E-4, 3.770198E-3
0.458000, 4.142322E-1, 2.166949E-3
0.459000, 6.354296E-1, 8.455174E-4
0.460000, 2.613935E-1, 8.873550E-3
0.461000, 1.220871E+0, 1.775802E-3
, , 
0.462000, 3.950041E-1, 6.596681E-4
0.463000, 4.823582E-1, 2.318042E-4
0.464000, 6.054969E-1, 9.238741E-4
0.465000, 4.894491E-3, 1.440346E-3
0.466000, 2.872693E-1, 1.803565E-3
0.467000, 4.791636E-1, 2.034412E-3
0.468000, 6.737062E-1, 2.152310E-3
0.469000, 6.095959E-1, 2.175232E-3
0.470000, 1.600806E-1, 2.119713E-3
0.471000, 2.435211E-1, 2.000874E-3
0.472000, 5.525182E-1, 1.048350E-2
0.473000, 4.276148E-1, 1.213091E-3
0.474000, 3.392132E-1, 9.695174E-4
0.475000, 5.505503E-1, 7.902945E-4
0.476000, 3.310150E-1, 6.643096E-4
0.477000, 3.415491E-1, 5.816214E-4
0.478000, 1.837625E+0, 5.334023E-4
0.479000, 1.498541E+0, 8.139177E-3
0.480000, 1.517269E-2, 5.300900E-3
0.481000, 2.190195E-1, 2.923951E-3
0.482000, 1.416121E-1, 9.653531E-4
0.483000, 9.629925E-1, 6.161096E-4
0.484000, 1.482560E+0, 1.859835E-3
0.485000, 2.362466E-1, 2.803341E-3
0.486000, 5.683338E-1, 3.482213E-3
0.487000, 9.251329E-2, 1.258111E-2
0.488000, 2.443300E-1, 1.338567E-3
0.489000, 3.509948E-1, 1.892437E-3
0.490000, 5.852136E-1, 2.255888E-3
0.491000, 1.258798E-2, 2.456855E-3
