Time (s), Activation By Channel (% of MVC)
53.932000, 7.029756E-3, 5.729879E-3
53.933000, 2.112681E-2, 4.453197E-3
53.934000, 1.313447E-2, 5.735891E-3
53.935000, 2.006543E-2, 4.483221E-3
53.936000, 3.290625E-2, 5.676765E-3
53.937000, 3.198397E-2, 4.085866E-3
53.938000, 2.223472E-2, 5.913374E-3
53.939000, 3.480130E-2, 4.201231E-3
53.940000, 3.076828E-2, 5.885740E-3
53.941000, 1.720188E-2, 4.233230E-3
53.942000, 5.136426E-2, 2.833720E-3
53.943000, 3.925408E-2, 1.663874E-3
53.944000, 2.882050E-2, 7.949648E-3
53.945000, 6.049613E-3, 5.886069E-3
53.946000, 3.628512E-3, 4.131858E-3
53.947000, 1.896010E-2, 5.992951E-3
53.948000, 2.894181E-2, 4.373818E-3
53.949000, 8.788406E-3, 3.003082E-3
53.950000, 9.942324E-3, 1.857348E-3
53.951000, 2.000295E-3, 9.143521E-4
53.952000, 1.383341E-2, 8.498093E-3
53.953000, 3.068150E-2, 2.393074E-3
53.954000, 2.430842E-2, 7.190373E-3
, , 
53.955000, 1.870784E-2, 3.541210E-3
53.956000, 5.168842E-3, 6.190670E-3
53.957000, 1.351976E-2, 4.403366E-3
53.958000, 2.638680E-2, 3.195605E-3
53.959000, 2.621086E-2, 2.182087E-3
53.960000, 1.498388E-2, 1.343128E-3
53.961000, 9.297697E-3, 6.601566E-4
53.962000, 1.335186E-2, 8.535344E-3
53.963000, 1.910411E-2, 6.117747E-3
53.964000, 1.887842E-2, 4.582389E-3
53.965000, 1.943405E-3, 3.456806E-3
53.966000, 1.917355E-2, 6.146988E-3
53.967000, 3.364146E-2, 4.546804E-3
53.968000, 1.657267E-2, 3.413614E-3
53.969000, 1.209532E-2, 2.452485E-3
53.970000, 3.412958E-2, 7.004466E-3
53.971000, 3.083999E-2, 3.819945E-3
53.972000, 9.308490E-3, 2.802462E-3
53.973000, 7.166358E-3, 1.943371E-3
53.974000, 1.061884E-2, 7.424038E-3
53.975000, 1.318082E-2, 3.478519E-3
53.976000, 4.958149E-2, 6.122230E-3
53.977000, 3.929839E-2, 4.083027E-3
53.978000, 1.300707E-2, 2.384944E-3
53.979000, 1.091286E-2, 9.939256E-4
53.980000, 8.967559E-3, 8.773399E-3
53.981000, 7.171692E-3, 6.805601E-3
53.982000, 2.044484E-2, 5.097821E-3
53.983000, 2.207447E-2, 3.629148E-3
53.984000, 4.829391E-3, 2.379466E-3
53.985000, 1.661606E-2, 1.329458E-3
53.986000, 3.206469E-3, 8.190446E-3
53.987000, 8.573464E-3, 6.055946E-3
, , 
53.988000, 1.191718E-2, 4.400807E-3
53.989000, 2.102360E-2, 3.069738E-3
53.990000, 2.661640E-2, 1.947386E-3
53.991000, 4.678578E-2, 7.636755E-3
53.992000, 1.575776E-2, 5.559264E-3
53.993000, 2.705519E-2, 3.804161E-3
53.994000, 7.594043E-3, 2.340271E-3
53.995000, 1.006658E-2, 1.138064E-3
53.996000, 2.180808E-3, 8.481414E-3
53.997000, 1.285463E-2, 6.402445E-3
53.998000, 3.235094E-2, 4.616029E-3
53.999000, 1.946175E-2, 3.097284E-3
54.000000, 1.068276E-3, 6.828746E-3
54.001000, 5.743716E-2, 5.042965E-3
54.002000, 3.507233E-2, 3.533583E-3
54.003000, 8.792448E-3, 6.377575E-3
54.004000, 2.408352E-2, 4.574127E-3
54.005000, 7.922811E-3, 3.046538E-3
54.006000, 2.171974E-2, 6.881543E-3
54.007000, 4.226636E-3, 5.092299E-3
54.008000, 2.302222E-2, 3.575108E-3
54.009000, 9.793143E-3, 2.303906E-3
54.010000, 2.599742E-2, 1.254015E-3
54.011000, 2.795097E-2, 4.021350E-4
54.012000, 6.528653E-3, 8.924735E-3
54.013000, 3.553197E-3, 6.605199E-3
54.014000, 1.063221E-2, 4.624863E-3
54.015000, 1.077761E-2, 5.697324E-3
54.016000, 2.251046E-4, 4.402965E-3
54.017000, 3.407913E-2, 5.861092E-3
54.018000, 1.247162E-2, 4.359338E-3
54.019000, 1.959864E-2, 3.085466E-3
54.020000, 2.049448E-3, 2.017533E-3
, , 
54.021000, 2.579745E-2, 1.134788E-3
54.022000, 2.459168E-2, 8.233396E-3
54.023000, 1.816900E-2, 5.963432E-3
54.024000, 4.845300E-3, 4.612141E-3
54.025000, 5.012059E-3, 3.383150E-3
54.026000, 3.267724E-3, 2.346303E-3
54.027000, 1.054931E-2, 7.168505E-3
54.028000, 2.797426E-2, 5.037248E-3
54.029000, 6.215888E-3, 3.243166E-3
54.030000, 4.668980E-3, 6.896896E-3
54.031000, 5.240443E-3, 3.379541E-3
54.032000, 1.391690E-2, 1.935122E-3
54.033000, 7.492063E-3, 7.894390E-3
54.034000, 3.116339E-2, 5.995462E-3
54.035000, 1.200319E-2, 4.289743E-3
54.036000, 2.589676E-3, 2.841884E-3
54.037000, 3.002636E-2, 1.648974E-3
54.038000, 8.490030E-3, 7.967296E-3
54.039000, 9.452099E-3, 2.760458E-3
54.040000, 2.543294E-2, 1.699812E-3
54.041000, 4.122451E-2, 7.808526E-3
54.042000, 8.692192E-4, 5.646091E-3
54.043000, 3.841201E-2, 4.849843E-3
54.044000, 2.185879E-2, 3.564764E-3
54.045000, 8.292384E-3, 2.491417E-3
54.046000, 3.598071E-3, 1.607167E-3
54.047000, 1.946805E-5, 7.760235E-3
54.048000, 3.732792E-2, 5.488576E-3
54.049000, 1.918114E-2, 3.562585E-3
54.050000, 1.221910E-2, 1.951351E-3
54.051000, 8.849994E-3, 6.252050E-4
54.052000, 6.123000E-3, 9.095301E-3
54.053000, 2.097045E-2, 7.095251E-3
, , 
54.054000, 2.154046E-2, 3.284342E-3
54.055000, 1.684130E-2, 6.725978E-3
54.056000, 4.270941E-3, 4.995448E-3
54.057000, 4.767017E-3, 5.133997E-3
54.058000, 3.680522E-2, 5.107954E-3
54.059000, 1.457246E-2, 3.591332E-3
54.060000, 2.557581E-3, 2.309876E-3
54.061000, 2.038107E-3, 1.241552E-3
54.062000, 6.532600E-2, 3.653965E-4
54.063000, 1.196698E-2, 3.384840E-4
54.064000, 3.655430E-2, 9.539975E-3
54.065000, 5.337631E-2, 7.114847E-3
54.066000, 2.046636E-2, 5.046132E-3
54.067000, 1.089428E-1, 3.301512E-3
54.068000, 1.073350E-1, 6.800884E-3
54.069000, 4.046271E-2, 5.148370E-3
54.070000, 1.424232E-3, 3.735074E-3
54.071000, 2.445770E-3, 6.111738E-3
54.072000, 4.410476E-3, 4.380349E-3
54.073000, 3.842512E-2, 5.567650E-3
54.074000, 3.359948E-2, 4.833044E-3
54.075000, 3.784076E-2, 3.454010E-3
54.076000, 3.096887E-2, 2.290481E-3
54.077000, 2.493459E-2, 7.329192E-3
54.078000, 3.698145E-2, 3.368484E-3
54.079000, 9.420216E-3, 6.394406E-3
54.080000, 6.446944E-3, 4.171982E-3
54.081000, 1.335445E-2, 5.710770E-3
54.082000, 7.589285E-3, 3.904374E-3
54.083000, 3.683640E-3, 2.394695E-3
54.084000, 1.167450E-2, 7.498775E-3
54.085000, 3.421824E-2, 5.661960E-3
54.086000, 5.505553E-3, 4.087576E-3
, , 
54.087000, 6.941095E-3, 5.898541E-3
54.088000, 3.617370E-2, 4.176474E-3
54.089000, 3.858452E-2, 2.733603E-3
54.090000, 1.298235E-2, 7.109080E-3
54.091000, 1.142132E-2, 5.236009E-3
54.092000, 2.718816E-2, 3.638438E-3
54.093000, 3.730622E-2, 2.291825E-3
54.094000, 1.677442E-2, 1.172693E-3
54.095000, 2.692828E-2, 8.392413E-3
54.096000, 2.797400E-2, 6.282808E-3
54.097000, 6.014255E-3, 4.485033E-3
54.098000, 1.074574E-3, 5.680829E-3
54.099000, 3.749959E-2, 4.100205E-3
54.100000, 3.785587E-2, 2.765415E-3
54.101000, 3.649376E-2, 1.653067E-3
54.102000, 7.822891E-3, 7.409102E-4
54.103000, 1.264439E-2, 7.842380E-6
54.104000, 1.982296E-3, 9.217140E-3
54.105000, 1.330997E-2, 6.810830E-3
54.106000, 2.538608E-3, 3.893865E-3
54.107000, 2.280233E-2, 2.786437E-3
54.108000, 1.930117E-2, 1.863294E-3
54.109000, 1.608198E-2, 1.105141E-3
54.110000, 3.045409E-2, 8.157234E-3
54.111000, 3.075865E-2, 5.798867E-3
54.112000, 3.809520E-2, 3.802004E-3
54.113000, 6.710249E-3, 2.133499E-3
54.114000, 1.802705E-2, 7.616830E-4
54.115000, 1.842033E-2, 8.994678E-3
54.116000, 9.691915E-3, 7.022255E-3
54.117000, 4.671079E-2, 5.314515E-3
54.118000, 2.828930E-2, 3.849092E-3
54.119000, 3.384357E-3, 2.604622E-3
, , 
54.120000, 3.471535E-2, 7.090321E-3
54.121000, 3.511930E-5, 5.113125E-3
54.122000, 1.040066E-3, 3.448524E-3
54.123000, 1.560068E-2, 6.585074E-3
54.124000, 7.788195E-3, 3.776432E-3
54.125000, 3.296597E-2, 6.253709E-3
54.126000, 3.221162E-2, 4.544995E-3
54.127000, 4.012999E-3, 3.090522E-3
54.128000, 9.196873E-3, 6.783535E-3
54.129000, 3.501800E-3, 3.694100E-3
54.130000, 1.153907E-3, 6.256728E-3
54.131000, 4.872452E-3, 4.151564E-3
54.132000, 2.506507E-2, 2.789354E-3
54.133000, 1.311148E-2, 1.650674E-3
54.134000, 1.365669E-2, 7.137482E-4
54.135000, 4.332941E-3, 8.693195E-3
54.136000, 1.756525E-2, 6.447806E-3
54.137000, 2.673414E-2, 4.534986E-3
54.138000, 2.381607E-2, 5.726798E-3
