Time, Activation By Channel (% of MVC)
22.968000, 3.114822E-2, 1.409125E+0
22.969000, 1.535794E-1, 1.409125E+0
22.970000, 2.094561E-2, 1.398929E+0
22.971000, 6.175602E-2, 1.409125E+0
22.972000, 1.025664E-1, 1.398929E+0
22.973000, 7.195862E-2, 1.409125E+0
22.974000, 4.135082E-2, 1.409125E+0
22.975000, 8.216122E-2, 1.398929E+0
22.976000, 1.841872E-1, 1.398929E+0
22.977000, 2.249977E-1, 1.409125E+0
22.978000, 2.862133E-1, 1.398929E+0
22.979000, -1.524986E-1, 1.398929E+0
22.980000, -8.108041E-2, 1.398929E+0
22.981000, 1.074301E-2, 1.409125E+0
22.982000, 1.433768E-1, 1.409125E+0
22.983000, 1.127690E-1, 1.409125E+0
22.984000, 9.236383E-2, 1.398929E+0
22.985000, 1.074301E-2, 1.409125E+0
22.986000, -3.006740E-2, 1.409125E+0
22.987000, 7.195862E-2, 1.409125E+0
22.988000, 2.094561E-2, 1.398929E+0
22.989000, 8.216122E-2, 1.398929E+0
22.990000, 1.229716E-1, 1.409125E+0
22.991000, 2.964159E-1, 1.409125E+0
22.992000, 3.168211E-1, 1.409125E+0
22.993000, 2.862133E-1, 1.398929E+0
22.994000, -2.851324E-1, 1.398929E+0
22.995000, -1.014856E-1, 1.398929E+0
22.996000, 4.135082E-2, 1.409125E+0
22.997000, 9.236383E-2, 1.398929E+0
22.998000, 1.637820E-1, 1.409125E+0
22.999000, 2.094561E-2, 1.409125E+0
23.000000, -1.218908E-1, 1.409125E+0
, , 
23.001000, 2.094561E-2, 1.409125E+0
23.002000, 6.175602E-2, 1.398929E+0
23.003000, 1.433768E-1, 1.398929E+0
23.004000, 1.841872E-1, 1.409125E+0
23.005000, 1.331742E-1, 1.409125E+0
23.006000, 2.658081E-1, 1.398929E+0
23.007000, 3.270237E-1, 1.409125E+0
23.008000, 2.094561E-2, 1.398929E+0
23.009000, 5.404097E-4, 1.398929E+0
23.010000, 9.236383E-2, 1.398929E+0
23.011000, 5.404097E-4, 1.398929E+0
23.012000, -1.422960E-1, 1.398929E+0
23.013000, 5.404097E-4, 1.409125E+0
23.014000, 3.114822E-2, 1.409125E+0
23.015000, 1.074301E-2, 1.409125E+0
23.016000, 1.074301E-2, 1.398929E+0
23.017000, 2.094561E-2, 1.409125E+0
