t0,5/2/2017  11:03:14.356096
delta t,0.001000

time,Y
5/2/2017  11:03:18.316096,10.416966
5/2/2017  11:03:18.317096,10.417284
5/2/2017  11:03:18.318096,10.416966
5/2/2017  11:03:18.319096,10.417284
5/2/2017  11:03:18.320096,10.416966
5/2/2017  11:03:18.321096,10.416966
5/2/2017  11:03:18.322096,10.416966
5/2/2017  11:03:18.323096,2.691240
5/2/2017  11:03:18.324096,2.651823
5/2/2017  11:03:18.325096,2.552645
5/2/2017  11:03:18.326096,2.618764
5/2/2017  11:03:18.327096,2.648008
5/2/2017  11:03:18.328096,2.729385
5/2/2017  11:03:18.329096,2.702684
5/2/2017  11:03:18.330096,2.621307
5/2/2017  11:03:18.331096,2.678525
5/2/2017  11:03:18.332096,2.702684
5/2/2017  11:03:18.333096,2.651823
5/2/2017  11:03:18.334096,2.612406
5/2/2017  11:03:18.335096,2.648008
5/2/2017  11:03:18.336096,2.725571
5/2/2017  11:03:18.337096,2.682339
5/2/2017  11:03:18.338096,2.634022
5/2/2017  11:03:18.339096,2.673439
5/2/2017  11:03:18.340096,2.728114
5/2/2017  11:03:18.341096,2.729385
5/2/2017  11:03:18.342096,2.631479
5/2/2017  11:03:18.343096,2.735743
5/2/2017  11:03:18.344096,2.742101
5/2/2017  11:03:18.345096,2.698869
5/2/2017  11:03:18.346096,2.709041
5/2/2017  11:03:18.347096,2.675982
5/2/2017  11:03:18.348096,2.621307
5/2/2017  11:03:18.349096,2.574261
5/2/2017  11:03:18.350096,2.646737
5/2/2017  11:03:18.351096,2.589519
5/2/2017  11:03:18.352096,2.658181
5/2/2017  11:03:18.353096,2.684882
5/2/2017  11:03:18.354096,2.728114
5/2/2017  11:03:18.355096,2.588247
5/2/2017  11:03:18.356096,2.787875
5/2/2017  11:03:18.357096,2.675982
5/2/2017  11:03:18.358096,2.728114
5/2/2017  11:03:18.359096,2.696326
5/2/2017  11:03:18.360096,2.775160
5/2/2017  11:03:18.361096,2.780246
5/2/2017  11:03:18.362096,2.653094
5/2/2017  11:03:18.363096,2.761173
5/2/2017  11:03:18.364096,2.649280
5/2/2017  11:03:18.365096,2.723028
5/2/2017  11:03:18.366096,2.593333
5/2/2017  11:03:18.367096,2.709041
5/2/2017  11:03:18.368096,2.569174
5/2/2017  11:03:18.369096,2.651823
5/2/2017  11:03:18.370096,2.714127
5/2/2017  11:03:18.371096,2.654366
5/2/2017  11:03:18.372096,2.580618
5/2/2017  11:03:18.373096,2.674710
5/2/2017  11:03:18.374096,2.658181
5/2/2017  11:03:18.375096,2.754816
5/2/2017  11:03:18.376096,2.716670
5/2/2017  11:03:18.377096,2.670896
5/2/2017  11:03:18.378096,2.766259
5/2/2017  11:03:18.379096,2.744644
5/2/2017  11:03:18.380096,2.665810
5/2/2017  11:03:18.381096,2.618764
5/2/2017  11:03:18.382096,2.542473
