Time (s), Activation By Channel (% of MVC)
0.186808, 4.480317E-3, 4.002547E-3
0.187808, 2.942162E-3, 5.670407E-3
0.188808, 1.671758E-3, 3.683635E-3
0.189808, 8.015542E-3, 6.628919E-3
0.190808, 2.665508E-3, 3.495192E-3
0.191808, 1.560898E-3, 1.918318E-3
0.192808, 6.693422E-4, 6.267577E-4
0.193808, 8.690187E-3, 4.086729E-4
0.194808, 6.385492E-3, 1.215753E-3
0.195808, 4.244687E-3, 1.820822E-3
0.196808, 5.583163E-3, 2.248753E-3
0.197808, 3.712825E-3, 2.522926E-3
0.198808, 2.140359E-3, 2.665211E-3
0.199808, 8.383203E-4, 1.134702E-2
0.200808, 8.876246E-3, 8.445174E-3
0.201808, 1.783235E-3, 2.707734E-3
0.202808, 7.992923E-3, 2.001866E-3
0.203808, 2.606361E-3, 1.434637E-3
0.204808, 7.228669E-3, 9.880644E-4
0.205808, 3.313042E-3, 8.005463E-3
0.206808, 2.078411E-3, 5.419119E-3
, , 
0.207808, 1.066852E-3, 3.233063E-3
0.208808, 2.544751E-4, 1.411863E-3
0.209808, 9.037928E-3, 8.729651E-3
0.210808, 1.980124E-3, 7.082232E-3
0.211808, 7.497006E-3, 5.643543E-3
0.212808, 3.345919E-3, 4.255571E-3
0.213808, 2.360033E-3, 6.160881E-3
0.214808, 7.107678E-3, 3.882547E-3
0.215808, 3.734800E-3, 6.406379E-3
0.216808, 2.739964E-3, 4.902577E-3
0.217808, 1.912766E-3, 5.046588E-3
0.218808, 7.421882E-3, 5.334355E-3
0.219808, 5.126152E-3, 3.920332E-3
0.220808, 5.466520E-3, 5.941361E-3
0.221808, 4.234242E-3, 4.126431E-3
0.222808, 5.473845E-3, 6.032931E-3
0.223808, 5.136224E-3, 4.224503E-3
0.224808, 3.918681E-3, 2.760361E-3
0.225808, 2.879988E-3, 1.560670E-3
0.226808, 2.002993E-3, 5.963776E-4
0.227808, 1.271533E-3, 1.598051E-4
0.228808, 7.986247E-3, 7.334184E-4
0.229808, 3.027084E-3, 9.799326E-3
0.230808, 6.487589E-3, 7.237629E-3
0.231808, 4.291049E-3, 5.035070E-3
0.232808, 3.219745E-3, 5.488607E-3
0.233808, 2.307281E-3, 4.219665E-3
0.234808, 1.538643E-3, 5.499343E-3
0.235808, 8.996338E-4, 3.548127E-3
0.236808, 3.768527E-4, 6.737821E-3
0.237808, 4.231532E-5, 5.245698E-3
0.238808, 3.697152E-4, 4.681191E-3
0.239808, 6.164351E-4, 2.921982E-3
, , 
0.240808, 9.449476E-3, 1.462827E-3
0.241808, 1.933242E-3, 8.376736E-3
0.242808, 1.393707E-3, 2.168272E-3
0.243808, 7.710863E-3, 7.688238E-3
0.244808, 3.421155E-3, 2.835775E-3
0.245808, 2.651246E-3, 7.045497E-3
0.246808, 6.663921E-3, 3.450319E-3
0.247808, 4.276679E-3, 2.188844E-3
0.248808, 5.322773E-3, 1.159812E-3
0.249808, 3.294609E-3, 3.376089E-4
0.250808, 7.032343E-3, 3.018731E-4
0.251808, 5.540208E-3, 7.812322E-4
0.252808, 4.418420E-3, 9.772618E-3
0.253808, 2.703326E-3, 7.153633E-3
0.254808, 7.353804E-3, 4.908726E-3
0.255808, 5.632212E-3, 3.006594E-3
0.256808, 4.138248E-3, 1.417060E-3
0.257808, 5.802464E-3, 8.539956E-3
0.258808, 4.604620E-3, 1.900761E-3
0.259808, 3.213816E-3, 8.046785E-3
0.260808, 6.625429E-3, 2.399393E-3
0.261808, 4.775988E-3, 7.546714E-3
0.262808, 3.229206E-3, 5.754119E-3
0.263808, 6.702964E-3, 4.215656E-3
0.264808, 4.895006E-3, 5.742568E-3
0.265808, 5.307979E-3, 4.650816E-3
0.266808, 4.883576E-3, 5.384131E-3
0.267808, 5.337450E-3, 3.710557E-3
0.268808, 3.814485E-3, 2.315691E-3
0.269808, 2.543864E-3, 7.479672E-3
0.270808, 7.157683E-3, 5.560202E-3
0.271808, 3.496574E-3, 3.917405E-3
0.272808, 6.302481E-3, 6.124052E-3
, , 
0.273808, 4.257153E-3, 4.205667E-3
0.274808, 3.023586E-3, 5.874968E-3
0.275808, 1.997623E-3, 4.420308E-3
0.276808, 1.156917E-3, 2.960607E-3
0.277808, 4.805595E-4, 1.738742E-3
0.278808, 5.095129E-5, 7.919286E-3
0.279808, 4.557494E-4, 2.757732E-3
0.280808, 9.407292E-3, 7.010320E-3
0.281808, 1.890611E-3, 3.564290E-3
0.282808, 1.294597E-3, 2.352193E-3
0.283808, 7.842948E-3, 7.303283E-3
0.284808, 3.275259E-3, 5.281465E-3
0.285808, 6.149828E-3, 3.568860E-3
0.286808, 3.953280E-3, 2.136532E-3
0.287808, 6.533798E-3, 7.694102E-3
0.288808, 5.191686E-3, 5.807166E-3
0.289808, 4.628467E-3, 4.457348E-3
0.290808, 2.787514E-3, 5.668957E-3
0.291808, 1.274530E-3, 4.596799E-3
0.292808, 8.601003E-3, 5.530382E-3
0.293808, 6.716181E-3, 3.918426E-3
0.294808, 5.075460E-3, 2.559035E-3
0.295808, 4.997200E-3, 7.222831E-3
0.296808, 5.291279E-3, 3.343062E-3
0.297808, 3.793928E-3, 6.524319E-3
0.298808, 2.515721E-3, 4.689156E-3
0.299808, 1.437754E-3, 5.511422E-3
0.300808, 8.114775E-3, 4.688347E-3
0.301808, 6.004205E-3, 3.154220E-3
0.302808, 4.435437E-3, 1.875944E-3
0.303808, 3.081292E-3, 8.277853E-4
0.304808, 6.718801E-3, 1.462065E-5
0.305808, 4.829127E-3, 6.742749E-4
, , 
0.306808, 3.242250E-3, 1.172817E-3
0.307808, 6.728838E-3, 1.530530E-3
0.308808, 3.698901E-3, 1.041741E-2
0.309808, 6.287284E-3, 9.420095E-4
0.310808, 4.535602E-3, 8.227940E-3
0.311808, 3.046367E-3, 5.785936E-3
0.312808, 1.796201E-3, 3.714551E-3
0.313808, 7.626852E-4, 1.980809E-3
0.314808, 8.732273E-3, 8.097994E-3
0.315808, 2.102585E-3, 2.240905E-3
0.316808, 7.537921E-3, 8.602814E-4
0.317808, 5.495054E-3, 8.904107E-3
0.318808, 4.893897E-3, 6.938847E-3
0.319808, 3.503090E-3, 3.413681E-3
0.320808, 2.334324E-3, 2.033840E-3
0.321808, 1.365864E-3, 9.092837E-4
0.322808, 8.079582E-3, 8.638698E-3
0.323808, 5.866495E-3, 6.494210E-3
0.324808, 4.669297E-3, 4.002935E-3
0.325808, 3.403459E-3, 2.735729E-3
0.326808, 6.317327E-3, 6.956560E-3
0.327808, 4.298455E-3, 3.694154E-3
